Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jul 1, 2025 12:00 AM;Jul 1, 2025 12:15 AM;38.00;812.50;232.00;0.00;0.00;0.00;231.50;144.25;30.50
Jul 1, 2025 12:15 AM;Jul 1, 2025 12:30 AM;38.00;793.75;206.00;0.00;0.00;0.00;219.50;142.50;30.50
Jul 1, 2025 12:30 AM;Jul 1, 2025 12:45 AM;38.00;793.50;183.00;0.00;0.00;0.00;219.00;143.50;30.50
Jul 1, 2025 12:45 AM;Jul 1, 2025 1:00 AM;38.00;773.50;165.00;0.00;0.00;0.00;227.50;127.25;30.50
Jul 1, 2025 1:00 AM;Jul 1, 2025 1:15 AM;38.00;731.00;141.00;0.00;0.00;0.00;241.50;58.25;30.50
Jul 1, 2025 1:15 AM;Jul 1, 2025 1:30 AM;38.00;727.75;115.00;0.00;0.00;0.00;241.50;51.75;30.50
Jul 1, 2025 1:30 AM;Jul 1, 2025 1:45 AM;38.00;724.00;101.00;0.00;0.00;0.00;241.75;58.75;30.50
Jul 1, 2025 1:45 AM;Jul 1, 2025 2:00 AM;38.00;716.75;92.00;0.00;0.00;0.00;253.50;51.75;30.50
Jul 1, 2025 2:00 AM;Jul 1, 2025 2:15 AM;38.00;718.75;86.00;0.00;0.00;0.00;260.00;30.50;30.50
Jul 1, 2025 2:15 AM;Jul 1, 2025 2:30 AM;38.00;716.75;82.00;0.00;0.00;0.00;260.25;26.75;30.50
Jul 1, 2025 2:30 AM;Jul 1, 2025 2:45 AM;38.00;712.75;83.00;0.00;0.00;0.00;260.50;23.50;30.50
Jul 1, 2025 2:45 AM;Jul 1, 2025 3:00 AM;38.00;702.00;73.00;0.00;0.00;0.00;259.75;13.75;30.50
Jul 1, 2025 3:00 AM;Jul 1, 2025 3:15 AM;38.00;681.50;61.00;0.00;0.00;0.00;261.50;0.00;30.50
Jul 1, 2025 3:15 AM;Jul 1, 2025 3:30 AM;38.00;673.00;52.00;0.00;0.00;0.00;260.50;0.00;30.50
Jul 1, 2025 3:30 AM;Jul 1, 2025 3:45 AM;38.00;684.00;43.00;0.00;0.00;0.00;261.00;0.00;30.50
Jul 1, 2025 3:45 AM;Jul 1, 2025 4:00 AM;38.00;683.00;34.00;0.00;0.00;0.00;260.00;0.00;30.50
Jul 1, 2025 4:00 AM;Jul 1, 2025 4:15 AM;38.00;695.00;39.00;0.00;0.00;0.00;259.50;16.75;30.50
Jul 1, 2025 4:15 AM;Jul 1, 2025 4:30 AM;38.00;692.25;44.00;0.00;0.00;0.00;259.75;19.25;30.50
Jul 1, 2025 4:30 AM;Jul 1, 2025 4:45 AM;38.00;709.00;43.00;0.00;0.00;0.00;259.00;19.75;30.50
Jul 1, 2025 4:45 AM;Jul 1, 2025 5:00 AM;38.00;719.50;47.00;0.00;0.00;0.00;258.75;19.00;30.50
Jul 1, 2025 5:00 AM;Jul 1, 2025 5:15 AM;38.00;702.75;47.00;1.00;0.00;0.00;200.00;15.25;30.50
Jul 1, 2025 5:15 AM;Jul 1, 2025 5:30 AM;38.00;722.25;44.00;5.00;0.00;0.00;164.50;17.25;30.50
Jul 1, 2025 5:30 AM;Jul 1, 2025 5:45 AM;38.00;737.00;44.00;12.00;0.00;0.00;157.75;21.50;30.50
Jul 1, 2025 5:45 AM;Jul 1, 2025 6:00 AM;38.00;750.50;49.00;21.00;0.00;0.00;158.25;67.75;30.50
Jul 1, 2025 6:00 AM;Jul 1, 2025 6:15 AM;38.00;814.50;51.00;31.00;0.00;0.00;157.00;370.50;30.50
Jul 1, 2025 6:15 AM;Jul 1, 2025 6:30 AM;38.00;830.00;56.00;43.00;0.00;0.00;156.75;400.00;30.50
Jul 1, 2025 6:30 AM;Jul 1, 2025 6:45 AM;38.00;845.25;63.00;57.00;0.00;0.00;158.50;409.00;30.50
Jul 1, 2025 6:45 AM;Jul 1, 2025 7:00 AM;38.00;855.75;67.00;77.00;0.00;0.00;159.00;416.25;30.50
Jul 1, 2025 7:00 AM;Jul 1, 2025 7:15 AM;38.00;857.50;65.00;107.00;0.00;0.00;123.50;427.00;30.50
Jul 1, 2025 7:15 AM;Jul 1, 2025 7:30 AM;38.00;859.50;61.00;144.00;0.00;0.00;77.50;457.50;30.50
Jul 1, 2025 7:30 AM;Jul 1, 2025 7:45 AM;38.00;854.25;55.00;186.00;0.00;0.00;39.50;456.00;30.50
Jul 1, 2025 7:45 AM;Jul 1, 2025 8:00 AM;38.00;828.00;53.00;233.00;0.00;0.00;41.50;412.75;30.50
Jul 1, 2025 8:00 AM;Jul 1, 2025 8:15 AM;38.00;836.25;55.00;284.00;0.00;0.00;25.50;213.50;30.50
Jul 1, 2025 8:15 AM;Jul 1, 2025 8:30 AM;38.00;842.75;58.00;337.00;0.00;0.00;12.50;186.00;30.50
Jul 1, 2025 8:30 AM;Jul 1, 2025 8:45 AM;38.00;823.75;62.00;393.00;0.00;0.00;0.00;167.50;30.50
Jul 1, 2025 8:45 AM;Jul 1, 2025 9:00 AM;38.00;786.25;66.00;451.00;0.00;0.00;0.00;143.00;30.50
Jul 1, 2025 9:00 AM;Jul 1, 2025 9:15 AM;38.00;829.75;71.00;511.00;0.00;0.00;0.00;9.25;30.50
Jul 1, 2025 9:15 AM;Jul 1, 2025 9:30 AM;38.00;811.00;77.00;567.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 9:30 AM;Jul 1, 2025 9:45 AM;38.00;740.25;82.00;626.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 9:45 AM;Jul 1, 2025 10:00 AM;39.00;717.00;85.00;680.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 10:00 AM;Jul 1, 2025 10:15 AM;39.00;675.75;87.00;739.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 10:15 AM;Jul 1, 2025 10:30 AM;39.00;665.75;90.00;803.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 10:30 AM;Jul 1, 2025 10:45 AM;39.00;659.00;89.00;858.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 10:45 AM;Jul 1, 2025 11:00 AM;39.00;642.25;91.00;901.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 11:00 AM;Jul 1, 2025 11:15 AM;39.00;639.50;91.00;935.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 11:15 AM;Jul 1, 2025 11:30 AM;39.00;624.00;95.00;967.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 11:30 AM;Jul 1, 2025 11:45 AM;39.00;615.00;97.00;995.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 11:45 AM;Jul 1, 2025 12:00 PM;40.00;611.50;98.00;1,018.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 12:00 PM;Jul 1, 2025 12:15 PM;40.00;603.25;92.00;1,038.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 12:15 PM;Jul 1, 2025 12:30 PM;40.00;597.00;94.00;1,055.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 12:30 PM;Jul 1, 2025 12:45 PM;40.00;587.25;99.00;1,063.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 12:45 PM;Jul 1, 2025 1:00 PM;40.00;574.00;98.00;1,061.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 1:00 PM;Jul 1, 2025 1:15 PM;40.00;568.50;99.00;1,053.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 1:15 PM;Jul 1, 2025 1:30 PM;40.00;568.00;99.00;1,050.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 1:30 PM;Jul 1, 2025 1:45 PM;40.00;567.00;100.00;1,044.00;0.00;0.00;0.00;0.00;30.50
Jul 1, 2025 1:45 PM;Jul 1, 2025 2:00 PM;41.00;572.50;99.00;1,029.00;0.00;0.00;8.00;0.00;30.50
Jul 1, 2025 2:00 PM;Jul 1, 2025 2:15 PM;41.00;582.00;97.00;1,005.00;0.00;0.00;22.00;0.00;30.50
Jul 1, 2025 2:15 PM;Jul 1, 2025 2:30 PM;41.00;581.50;95.00;975.00;0.00;0.00;23.00;0.00;30.50
Jul 1, 2025 2:30 PM;Jul 1, 2025 2:45 PM;41.00;582.75;96.00;946.00;0.00;0.00;23.00;0.00;30.50
Jul 1, 2025 2:45 PM;Jul 1, 2025 3:00 PM;41.00;591.25;94.00;921.00;0.00;0.00;34.00;0.00;30.50
