Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 12:15 AM;75.00;500.75;7.00;0.00;0.00;0.00;376.00;0.00;30.50
Jan 1, 2025 12:15 AM;Jan 1, 2025 12:30 AM;75.00;514.00;7.00;0.00;0.00;0.00;344.50;0.00;30.50
Jan 1, 2025 12:30 AM;Jan 1, 2025 12:45 AM;75.00;496.75;6.00;0.00;0.00;0.00;338.25;0.00;30.50
Jan 1, 2025 12:45 AM;Jan 1, 2025 1:00 AM;75.00;482.50;7.00;0.00;0.00;0.00;338.50;0.00;30.50
Jan 1, 2025 1:00 AM;Jan 1, 2025 1:15 AM;75.00;497.50;6.00;0.00;0.00;0.00;303.25;0.00;30.50
Jan 1, 2025 1:15 AM;Jan 1, 2025 1:30 AM;75.00;474.50;7.00;0.00;0.00;0.00;288.25;0.00;30.50
Jan 1, 2025 1:30 AM;Jan 1, 2025 1:45 AM;75.00;488.00;7.00;0.00;0.00;0.00;268.75;0.00;30.50
Jan 1, 2025 1:45 AM;Jan 1, 2025 2:00 AM;75.00;488.75;7.00;0.00;0.00;0.00;243.00;0.00;30.50
Jan 1, 2025 2:00 AM;Jan 1, 2025 2:15 AM;75.00;476.00;7.00;0.00;0.00;0.00;228.00;0.00;30.50
Jan 1, 2025 2:15 AM;Jan 1, 2025 2:30 AM;75.00;451.50;8.00;0.00;0.00;0.00;208.00;0.00;30.50
Jan 1, 2025 2:30 AM;Jan 1, 2025 2:45 AM;75.00;476.25;8.00;0.00;0.00;0.00;206.00;0.00;30.50
Jan 1, 2025 2:45 AM;Jan 1, 2025 3:00 AM;75.00;446.75;8.00;0.00;0.00;0.00;205.25;0.00;30.50
Jan 1, 2025 3:00 AM;Jan 1, 2025 3:15 AM;75.00;458.00;8.00;0.00;0.00;0.00;205.00;0.00;30.50
Jan 1, 2025 3:15 AM;Jan 1, 2025 3:30 AM;75.00;448.50;8.00;0.00;0.00;0.00;203.75;0.00;30.50
Jan 1, 2025 3:30 AM;Jan 1, 2025 3:45 AM;75.00;449.00;8.00;0.00;0.00;0.00;203.75;0.00;30.50
Jan 1, 2025 3:45 AM;Jan 1, 2025 4:00 AM;75.00;448.75;7.00;0.00;0.00;0.00;204.00;0.00;30.50
Jan 1, 2025 4:00 AM;Jan 1, 2025 4:15 AM;75.00;480.50;8.00;0.00;0.00;0.00;197.25;0.00;30.50
Jan 1, 2025 4:15 AM;Jan 1, 2025 4:30 AM;75.00;463.50;8.00;0.00;0.00;0.00;196.50;0.00;30.50
Jan 1, 2025 4:30 AM;Jan 1, 2025 4:45 AM;75.00;452.50;9.00;0.00;0.00;0.00;196.50;0.00;30.50
Jan 1, 2025 4:45 AM;Jan 1, 2025 5:00 AM;75.00;452.25;10.00;0.00;0.00;0.00;206.00;0.00;30.50
Jan 1, 2025 5:00 AM;Jan 1, 2025 5:15 AM;75.00;448.00;10.00;0.00;0.00;0.00;210.50;0.00;30.50
Jan 1, 2025 5:15 AM;Jan 1, 2025 5:30 AM;75.00;454.75;10.00;0.00;0.00;0.00;212.25;0.00;30.50
Jan 1, 2025 5:30 AM;Jan 1, 2025 5:45 AM;75.00;458.25;11.00;0.00;0.00;0.00;212.00;0.00;30.50
Jan 1, 2025 5:45 AM;Jan 1, 2025 6:00 AM;75.00;481.00;10.00;0.00;0.00;0.00;210.50;0.00;30.50
Jan 1, 2025 6:00 AM;Jan 1, 2025 6:15 AM;75.00;473.00;10.00;0.00;0.00;0.00;205.50;0.00;30.50
Jan 1, 2025 6:15 AM;Jan 1, 2025 6:30 AM;75.00;483.25;10.00;0.00;0.00;0.00;206.00;0.00;30.50
Jan 1, 2025 6:30 AM;Jan 1, 2025 6:45 AM;75.00;479.00;11.00;0.00;0.00;0.00;206.75;0.00;30.50
Jan 1, 2025 6:45 AM;Jan 1, 2025 7:00 AM;75.00;496.25;11.00;0.00;0.00;0.00;210.75;0.00;30.50
Jan 1, 2025 7:00 AM;Jan 1, 2025 7:15 AM;75.00;488.50;13.00;0.00;0.00;0.00;212.00;0.00;30.50
Jan 1, 2025 7:15 AM;Jan 1, 2025 7:30 AM;75.00;484.75;14.00;0.00;0.00;0.00;215.50;0.00;30.50
Jan 1, 2025 7:30 AM;Jan 1, 2025 7:45 AM;75.00;485.50;14.00;0.00;0.00;0.00;217.25;0.00;30.50
Jan 1, 2025 7:45 AM;Jan 1, 2025 8:00 AM;75.00;504.00;15.00;12.00;0.00;0.00;214.25;0.00;30.50
Jan 1, 2025 8:00 AM;Jan 1, 2025 8:15 AM;75.00;468.25;15.00;29.00;0.00;0.00;212.75;0.00;30.50
Jan 1, 2025 8:15 AM;Jan 1, 2025 8:30 AM;75.00;459.25;16.00;49.00;0.00;0.00;209.25;0.00;30.50
Jan 1, 2025 8:30 AM;Jan 1, 2025 8:45 AM;75.00;464.75;17.00;69.00;0.00;0.00;208.25;0.00;30.50
Jan 1, 2025 8:45 AM;Jan 1, 2025 9:00 AM;75.00;466.00;19.00;91.00;0.00;0.00;206.50;0.00;30.50
Jan 1, 2025 9:00 AM;Jan 1, 2025 9:15 AM;75.00;499.25;19.00;117.00;0.00;0.00;204.00;0.00;30.50
Jan 1, 2025 9:15 AM;Jan 1, 2025 9:30 AM;75.00;431.00;18.00;224.00;0.00;0.00;178.50;0.00;30.50
Jan 1, 2025 9:30 AM;Jan 1, 2025 9:45 AM;75.00;431.75;17.00;233.00;0.00;0.00;183.00;0.00;30.50
Jan 1, 2025 9:45 AM;Jan 1, 2025 10:00 AM;75.00;426.25;17.00;247.00;0.00;0.00;184.50;0.00;30.50
Jan 1, 2025 10:00 AM;Jan 1, 2025 10:15 AM;75.00;461.00;17.00;269.00;0.00;0.00;181.75;0.00;30.50
Jan 1, 2025 10:15 AM;Jan 1, 2025 10:30 AM;75.00;440.75;18.00;293.00;0.00;0.00;180.00;0.00;30.50
Jan 1, 2025 10:30 AM;Jan 1, 2025 10:45 AM;75.00;432.25;19.00;311.00;0.00;0.00;179.50;0.00;30.50
Jan 1, 2025 10:45 AM;Jan 1, 2025 11:00 AM;75.00;431.75;18.00;320.00;0.00;0.00;178.50;0.00;30.50
Jan 1, 2025 11:00 AM;Jan 1, 2025 11:15 AM;75.00;426.25;18.00;338.00;0.00;0.00;170.75;0.00;30.50
Jan 1, 2025 11:15 AM;Jan 1, 2025 11:30 AM;75.00;424.75;18.00;356.00;0.00;0.00;167.50;0.00;30.50
Jan 1, 2025 11:30 AM;Jan 1, 2025 11:45 AM;76.00;421.00;18.00;361.00;0.00;0.00;166.00;0.00;30.50
Jan 1, 2025 11:45 AM;Jan 1, 2025 12:00 PM;76.00;420.75;18.00;358.00;0.00;0.00;167.00;0.00;30.50
Jan 1, 2025 12:00 PM;Jan 1, 2025 12:15 PM;75.00;462.00;19.00;364.00;0.00;0.00;167.50;0.00;30.50
Jan 1, 2025 12:15 PM;Jan 1, 2025 12:30 PM;75.00;412.50;18.00;369.00;0.00;0.00;162.00;0.00;30.50
Jan 1, 2025 12:30 PM;Jan 1, 2025 12:45 PM;75.00;413.75;17.00;366.00;0.00;0.00;162.50;0.00;30.50
Jan 1, 2025 12:45 PM;Jan 1, 2025 1:00 PM;75.00;431.00;16.00;354.00;0.00;0.00;166.25;0.00;30.50
Jan 1, 2025 1:00 PM;Jan 1, 2025 1:15 PM;77.00;418.50;17.00;336.00;0.00;0.00;166.50;0.00;30.50
Jan 1, 2025 1:15 PM;Jan 1, 2025 1:30 PM;78.00;409.50;18.00;323.00;0.00;0.00;165.50;0.00;30.50
Jan 1, 2025 1:30 PM;Jan 1, 2025 1:45 PM;78.00;412.00;19.00;304.00;0.00;0.00;168.25;0.00;30.50
Jan 1, 2025 1:45 PM;Jan 1, 2025 2:00 PM;78.00;442.50;19.00;278.00;0.00;0.00;175.50;0.00;30.50
Jan 1, 2025 2:00 PM;Jan 1, 2025 2:15 PM;78.00;465.00;20.00;249.00;0.00;0.00;189.25;0.00;30.50
Jan 1, 2025 2:15 PM;Jan 1, 2025 2:30 PM;77.00;489.25;21.00;225.00;0.00;0.00;190.00;0.00;30.50
Jan 1, 2025 2:30 PM;Jan 1, 2025 2:45 PM;77.00;557.00;22.00;195.00;0.00;0.00;193.25;0.00;30.50
Jan 1, 2025 2:45 PM;Jan 1, 2025 3:00 PM;77.00;593.00;22.00;162.00;0.00;0.00;198.00;0.00;30.50
Jan 1, 2025 3:00 PM;Jan 1, 2025 3:15 PM;77.00;500.25;22.00;129.00;0.00;0.00;197.50;0.00;30.50
Jan 1, 2025 3:15 PM;Jan 1, 2025 3:30 PM;77.00;522.50;22.00;100.00;0.00;0.00;214.00;0.00;30.50
Jan 1, 2025 3:30 PM;Jan 1, 2025 3:45 PM;77.00;540.00;20.00;70.00;0.00;0.00;234.25;0.00;30.50
Jan 1, 2025 3:45 PM;Jan 1, 2025 4:00 PM;76.00;576.00;19.00;36.00;0.00;0.00;245.00;0.00;30.50
Jan 1, 2025 4:00 PM;Jan 1, 2025 4:15 PM;75.00;543.50;22.00;17.00;0.00;0.00;272.50;0.00;30.50
Jan 1, 2025 4:15 PM;Jan 1, 2025 4:30 PM;75.00;554.75;20.00;6.00;0.00;0.00;275.00;0.00;30.50
Jan 1, 2025 4:30 PM;Jan 1, 2025 4:45 PM;75.00;597.50;19.00;0.00;0.00;0.00;276.50;0.00;30.50
Jan 1, 2025 4:45 PM;Jan 1, 2025 5:00 PM;75.00;598.50;20.00;0.00;0.00;0.00;276.75;0.00;30.50
Jan 1, 2025 5:00 PM;Jan 1, 2025 5:15 PM;74.00;597.25;21.00;0.00;0.00;0.00;277.75;0.00;30.50
Jan 1, 2025 5:15 PM;Jan 1, 2025 5:30 PM;74.00;594.25;22.00;0.00;0.00;0.00;277.75;0.00;30.50
Jan 1, 2025 5:30 PM;Jan 1, 2025 5:45 PM;73.00;595.25;22.00;0.00;0.00;0.00;277.00;0.00;30.50
Jan 1, 2025 5:45 PM;Jan 1, 2025 6:00 PM;73.00;595.50;23.00;0.00;0.00;0.00;277.00;0.00;30.50
Jan 1, 2025 6:00 PM;Jan 1, 2025 6:15 PM;74.00;594.50;24.00;0.00;0.00;0.00;277.75;0.00;30.50
