Start date;End date;Total [MWh] Original resolutions;Photovoltaics and wind [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other [MWh] Calculated resolutions
Jul 1, 2025 12:00 AM;Jul 1, 2025 12:15 AM;1,366.75;171.00;171.00;0.00;1,209.25
Jul 1, 2025 12:15 AM;Jul 1, 2025 12:30 AM;1,366.75;162.00;162.00;0.00;1,209.25
Jul 1, 2025 12:30 AM;Jul 1, 2025 12:45 AM;1,366.75;153.00;153.00;0.00;1,209.25
Jul 1, 2025 12:45 AM;Jul 1, 2025 1:00 AM;1,366.75;144.00;144.00;0.00;1,209.25
Jul 1, 2025 1:00 AM;Jul 1, 2025 1:15 AM;846.25;136.00;136.00;0.00;724.75
Jul 1, 2025 1:15 AM;Jul 1, 2025 1:30 AM;846.25;126.00;126.00;0.00;724.75
Jul 1, 2025 1:30 AM;Jul 1, 2025 1:45 AM;846.25;117.00;117.00;0.00;724.75
Jul 1, 2025 1:45 AM;Jul 1, 2025 2:00 AM;846.25;107.00;107.00;0.00;724.75
Jul 1, 2025 2:00 AM;Jul 1, 2025 2:15 AM;816.25;99.00;99.00;0.00;727.00
Jul 1, 2025 2:15 AM;Jul 1, 2025 2:30 AM;816.25;92.00;92.00;0.00;727.00
Jul 1, 2025 2:30 AM;Jul 1, 2025 2:45 AM;816.25;86.00;86.00;0.00;727.00
Jul 1, 2025 2:45 AM;Jul 1, 2025 3:00 AM;816.25;80.00;80.00;0.00;727.00
Jul 1, 2025 3:00 AM;Jul 1, 2025 3:15 AM;734.50;75.00;75.00;0.00;664.75
Jul 1, 2025 3:15 AM;Jul 1, 2025 3:30 AM;734.50;72.00;72.00;0.00;664.75
Jul 1, 2025 3:30 AM;Jul 1, 2025 3:45 AM;734.50;68.00;68.00;0.00;664.75
Jul 1, 2025 3:45 AM;Jul 1, 2025 4:00 AM;734.50;64.00;64.00;0.00;664.75
Jul 1, 2025 4:00 AM;Jul 1, 2025 4:15 AM;797.50;61.00;61.00;0.00;740.25
Jul 1, 2025 4:15 AM;Jul 1, 2025 4:30 AM;797.50;58.00;58.00;0.00;740.25
Jul 1, 2025 4:30 AM;Jul 1, 2025 4:45 AM;797.50;56.00;56.00;0.00;740.25
Jul 1, 2025 4:45 AM;Jul 1, 2025 5:00 AM;797.50;54.00;54.00;0.00;740.25
Jul 1, 2025 5:00 AM;Jul 1, 2025 5:15 AM;822.25;53.00;52.00;1.00;761.75
Jul 1, 2025 5:15 AM;Jul 1, 2025 5:30 AM;822.25;56.00;51.00;5.00;761.75
Jul 1, 2025 5:30 AM;Jul 1, 2025 5:45 AM;822.25;62.00;50.00;12.00;761.75
Jul 1, 2025 5:45 AM;Jul 1, 2025 6:00 AM;822.25;71.00;49.00;22.00;761.75
Jul 1, 2025 6:00 AM;Jul 1, 2025 6:15 AM;1,331.75;82.00;48.00;34.00;1,230.25
Jul 1, 2025 6:15 AM;Jul 1, 2025 6:30 AM;1,331.75;94.00;46.00;48.00;1,230.25
Jul 1, 2025 6:30 AM;Jul 1, 2025 6:45 AM;1,331.75;107.00;44.00;63.00;1,230.25
Jul 1, 2025 6:45 AM;Jul 1, 2025 7:00 AM;1,331.75;123.00;41.00;82.00;1,230.25
Jul 1, 2025 7:00 AM;Jul 1, 2025 7:15 AM;1,444.00;149.00;39.00;110.00;1,246.25
Jul 1, 2025 7:15 AM;Jul 1, 2025 7:30 AM;1,444.00;179.00;35.00;144.00;1,246.25
Jul 1, 2025 7:30 AM;Jul 1, 2025 7:45 AM;1,444.00;213.00;31.00;182.00;1,246.25
Jul 1, 2025 7:45 AM;Jul 1, 2025 8:00 AM;1,444.00;250.00;26.00;224.00;1,246.25
Jul 1, 2025 8:00 AM;Jul 1, 2025 8:15 AM;1,207.50;289.00;23.00;266.00;853.50
Jul 1, 2025 8:15 AM;Jul 1, 2025 8:30 AM;1,207.50;331.00;21.00;310.00;853.50
Jul 1, 2025 8:30 AM;Jul 1, 2025 8:45 AM;1,207.50;375.00;19.00;356.00;853.50
Jul 1, 2025 8:45 AM;Jul 1, 2025 9:00 AM;1,207.50;421.00;17.00;404.00;853.50
Jul 1, 2025 9:00 AM;Jul 1, 2025 9:15 AM;1,050.50;466.00;16.00;450.00;518.75
Jul 1, 2025 9:15 AM;Jul 1, 2025 9:30 AM;1,050.50;510.00;15.00;495.00;518.75
Jul 1, 2025 9:30 AM;Jul 1, 2025 9:45 AM;1,050.50;553.00;15.00;538.00;518.75
Jul 1, 2025 9:45 AM;Jul 1, 2025 10:00 AM;1,050.50;598.00;15.00;583.00;518.75
Jul 1, 2025 10:00 AM;Jul 1, 2025 10:15 AM;939.00;645.00;14.00;631.00;213.50
Jul 1, 2025 10:15 AM;Jul 1, 2025 10:30 AM;939.00;699.00;14.00;685.00;213.50
Jul 1, 2025 10:30 AM;Jul 1, 2025 10:45 AM;939.00;754.00;15.00;739.00;213.50
Jul 1, 2025 10:45 AM;Jul 1, 2025 11:00 AM;939.00;804.00;15.00;789.00;213.50
Jul 1, 2025 11:00 AM;Jul 1, 2025 11:15 AM;970.50;850.00;15.00;835.00;65.25
