Start date;End date;Photovoltaics and wind [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 12:15 AM;31.00;31.00;0.00
Jan 1, 2025 12:15 AM;Jan 1, 2025 12:30 AM;34.00;34.00;0.00
Jan 1, 2025 12:30 AM;Jan 1, 2025 12:45 AM;25.00;25.00;0.00
Jan 1, 2025 12:45 AM;Jan 1, 2025 1:00 AM;27.00;27.00;0.00
Jan 1, 2025 1:00 AM;Jan 1, 2025 1:15 AM;30.00;30.00;0.00
Jan 1, 2025 1:15 AM;Jan 1, 2025 1:30 AM;33.00;33.00;0.00
Jan 1, 2025 1:30 AM;Jan 1, 2025 1:45 AM;27.00;27.00;0.00
Jan 1, 2025 1:45 AM;Jan 1, 2025 2:00 AM;29.00;29.00;0.00
Jan 1, 2025 2:00 AM;Jan 1, 2025 2:15 AM;31.00;31.00;0.00
Jan 1, 2025 2:15 AM;Jan 1, 2025 2:30 AM;32.00;32.00;0.00
Jan 1, 2025 2:30 AM;Jan 1, 2025 2:45 AM;26.00;26.00;0.00
Jan 1, 2025 2:45 AM;Jan 1, 2025 3:00 AM;28.00;28.00;0.00
Jan 1, 2025 3:00 AM;Jan 1, 2025 3:15 AM;30.00;30.00;0.00
Jan 1, 2025 3:15 AM;Jan 1, 2025 3:30 AM;32.00;32.00;0.00
Jan 1, 2025 3:30 AM;Jan 1, 2025 3:45 AM;25.00;25.00;0.00
Jan 1, 2025 3:45 AM;Jan 1, 2025 4:00 AM;27.00;27.00;0.00
Jan 1, 2025 4:00 AM;Jan 1, 2025 4:15 AM;29.00;29.00;0.00
Jan 1, 2025 4:15 AM;Jan 1, 2025 4:30 AM;31.00;31.00;0.00
Jan 1, 2025 4:30 AM;Jan 1, 2025 4:45 AM;25.00;25.00;0.00
Jan 1, 2025 4:45 AM;Jan 1, 2025 5:00 AM;26.00;26.00;0.00
Jan 1, 2025 5:00 AM;Jan 1, 2025 5:15 AM;27.00;27.00;0.00
Jan 1, 2025 5:15 AM;Jan 1, 2025 5:30 AM;29.00;29.00;0.00
Jan 1, 2025 5:30 AM;Jan 1, 2025 5:45 AM;37.00;37.00;0.00
Jan 1, 2025 5:45 AM;Jan 1, 2025 6:00 AM;38.00;38.00;0.00
Jan 1, 2025 6:00 AM;Jan 1, 2025 6:15 AM;38.00;38.00;0.00
Jan 1, 2025 6:15 AM;Jan 1, 2025 6:30 AM;38.00;38.00;0.00
Jan 1, 2025 6:30 AM;Jan 1, 2025 6:45 AM;41.00;41.00;0.00
Jan 1, 2025 6:45 AM;Jan 1, 2025 7:00 AM;42.00;42.00;0.00
Jan 1, 2025 7:00 AM;Jan 1, 2025 7:15 AM;42.00;42.00;0.00
